primary_language,Quantidade_Repositorios,Pulls_Aceitas
Python,189,705143
TypeScript,156,739368
JavaScript,130,223237
Go,73,437235
Java,50,177766
C++,48,333782
Rust,44,225555
C,25,34140
Jupyter Notebook,22,18066
HTML,19,32135
Shell,19,17377
C#,12,48336
Ruby,12,110646
Kotlin,11,10559
Swift,9,5726
CSS,8,4019
PHP,7,74512
Vue,7,6139
Dart,5,49101
Markdown,5,17025
MDX,5,10115
Vim Script,4,16870
Clojure,4,41843
Dockerfile,3,1352
Zig,3,17770
Batchfile,2,689
Assembly,2,380
TeX,2,38
Makefile,2,141
Roff,2,975
Svelte,2,669
Lua,2,6546
Scala,2,10
Haskell,2,1990
Blade,1,1641
Elixir,1,856
Nunjucks,1,484
LLVM,1,55788
Julia,1,25824
Objective-C,1,710
PowerShell,1,846
SCSS,1,23
V,1,12269
