name,owner,url,stars,primary_language,idade_dias,pull_requests_aceitas,total_releases,dias_desde_ultima_atualizacao,percentual_issues_fechadas
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426216,TypeScript,3894,25730,0,0,99.02
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,413062,Markdown,2662,142,0,0,72.21
awesome,sindresorhus,https://github.com/sindresorhus/awesome,394092,,4060,679,0,0,96.32
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,365766,Python,4333,6820,0,0,97.38
public-apis,public-apis,https://github.com/public-apis/public-apis,362438,Python,3442,1872,0,0,98.88
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,334333,TypeScript,3082,3694,1,0,91.57
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,324683,,3364,415,0,0,87.79
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,317091,Python,3099,200,0,0,26.84
996.ICU,996icu,https://github.com/996icu/996.ICU,274131,,2341,1071,0,0,0
awesome-python,vinta,https://github.com/vinta/awesome-python,256245,Python,4074,544,0,0,0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,243192,,3735,2394,1,0,100.0
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,240663,,3054,182,0,0,37.62
react,facebook,https://github.com/facebook/react,238322,JavaScript,4473,12137,105,0,94.27
vue,vuejs,https://github.com/vuejs/vue,209292,TypeScript,4407,1133,249,0,96.46
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,204274,Python,3324,2976,0,0,95.21
linux,torvalds,https://github.com/torvalds/linux,200475,C,5101,10,0,0,0
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,193058,JavaScript,2708,302,0,0,62.57
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191279,C++,3576,36040,219,0,97.79
